,Price,address,Local_area,zipcode,beds,baths,sqft,url,latitude,longitude
442,314900,8617 S 9TH Street,Phoenix,85042,3.0,2.0,976.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/South-Mountain-Highland-Terrace/8617-S-9TH-Street/109591042.html,33.3794,-112.0283
443,750000,1420 Eureka Ridge Way,Prescott,86303,3.0,2.0,2389.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Prescott-CCD/1420-Eureka-Ridge-Way/109206494.html,34.4958,-112.3783
444,475000,20408 N 30TH Way,Phoenix,85050,4.0,3.0,2177.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/Paradise-Valley-Village/20408-N-30TH-Way/109492924.html,33.6863,-111.9963
445,499000,9801 S 47TH Place,Phoenix,85044,4.0,3.0,2215.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/Ahwatukee-Foothills/9801-S-47TH-Place/108876122.html,33.3291,-111.9943
446,725000,730 W LEWIS Avenue,Phoenix,85007,3.0,3.0,2688.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/Encanto-Village/730-W-LEWIS-Avenue/108536713.html,33.4523,-112.0893
447,699900,5012 E WINDSTONE Trail,Cave Creek,85331,4.0,2.0,2332.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Cave-Creek/5012-E-WINDSTONE-Trail/109647514.html,33.8851,-111.9349
448,45000,502 N 2nd Street,Holbrook,86025,2.0,1.0,1221.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Holbrook/502-N-2nd-Street/109613036.html,34.9085,-110.1434
449,699000,2912 SUMMER Loop,Flagstaff,85931,3.0,2.0,1902.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Flagstaff-CCD/Greater-Flagstaff/2912-SUMMER-Loop/109490124.html,34.4513,-110.8644
450,225000,17420 N HORSESHOE Lane,Sun City,85373,3.0,1.0,998.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Maricopa-County/Sun-City/17420-N-HORSESHOE-Lane/109551465.html,33.6588,-112.3214
451,4250000,10076 E Paradise Drive,Scottsdale,85260,8.0,8.0,8625.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Scottsdale/Cactus-Corridor/10076-E-Paradise-Drive/108097411.html,33.6013,-111.8867
452,385000,12033 W CARIBBEAN Lane,El Mirage,85335,4.0,2.0,1642.0,https://www.point2homes.com/US/Home-For-Sale/AZ/El-Mirage/12033-W-CARIBBEAN-Lane/109490071.html,33.6082,-112.3241
453,560000,1844 Marble Canyon Dr,Bullhead City,86442,4.0,3.0,3294.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Bullhead-City/1844-Marble-Canyon-Dr/109548723.html,35.106,-114.5947
454,389990,35394 W SANTA CLARA Avenue,Maricopa,85138,5.0,3.0,2688.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Maricopa/35394-W-SANTA-CLARA-Avenue/109177659.html,33.0073,-111.9324
455,355000,609 E WESCOTT Drive,Phoenix,85024,3.0,3.0,1788.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/Deer-Valley-Village/609-E-WESCOTT-Drive/109490025.html,33.6617,-112.037
456,95000,10720 Admiral Rd,Parker,85344,1.0,1.0,600.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Cienega-Springs/10720-Admiral-Rd/108332996.html,34.15,-114.2891
457,210000,2891 W Calle Del Tigre,Drexel Heights,85746,3.0,2.0,1101.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Drexel-Heights/2891-W-Calle-Del-Tigre/109571448.html,32.1422,-111.0506
458,799000,7181 E CAMELBACK Road 503,Scottsdale,85251,1.0,2.0,1147.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Scottsdale/Downtown-Scottsdale/7181-E-CAMELBACK-Road/109493211.html,33.4936,-111.9167
459,598000,21519 W WATKINS Street,Buckeye,85326,4.0,2.0,1913.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Buckeye/Sundance/21519-W-WATKINS-Street/108919016.html,33.3703,-112.5838
460,370000,3207 N 21ST Street,Phoenix,85016,3.0,2.0,1346.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/Biltmore/3207-N-21ST-Street/109492649.html,33.5021,-112.0305
461,360000,3670 Totem Dr,Lake Havasu City,86406,3.0,2.0,1484.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Lake-Havasu-City/3670-Totem-Dr/108704941.html,34.4228,-114.125
462,290000,3880 VIA DE LA REINA --,Sierra Vista,85650,4.0,2.0,1985.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Sierra-Vista/3880-VIA-DE-LA-REINA-/108873204.html,31.4892,-110.2153
463,2100000,305 Mundy Drive 2,Camp Verde - Sedona,86351,3.0,2.0,3665.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Camp-Verde-Sedona/Greater-Camp-Verde/305-Mundy-Drive/109507953.html,34.7784,-111.7851
464,320000,10829 W PALMERAS Drive,Sun City,85373,3.0,2.0,1508.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Maricopa-County/Sun-City/10829-W-PALMERAS-Drive/109551568.html,33.6588,-112.3214
465,375000,10427 N 52ND Drive,Glendale,85302,3.0,2.0,1874.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Glendale/Chaparral-Ranch/10427-N-52ND-Drive/109257318.html,33.5675,-112.1753
466,789000,8695 Laramie Road,Flagstaff,86004,5.0,4.0,3268.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Doney-Park/8695-Laramie-Road/108056480.html,35.2257,-111.5741
467,1325000,27606 N 61ST Place,Scottsdale,85266,4.0,4.0,3906.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Maricopa-County/Scottsdale/Monterra/27606-N-61ST-Place/109492724.html,33.7669,-111.9182
468,1450000,2210 Encanto Drive NE,Phoenix,85007,4.0,3.0,4085.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/Encanto-Village/2210-Encanto-Drive-NE/108479500.html,33.4523,-112.0893
469,598500,21 County Road N3236,Vernon,85940,3.0,3.0,2500.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Vernon/21-County-Road-N3236/107108696.html,34.2575,-109.6929
470,374900,12230 N 23RD Street,Phoenix,85022,3.0,1.0,1276.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/Paradise-Valley-Village/12230-N-23RD-Street/108479468.html,33.6315,-112.052
471,575000,609 E SILVER CREEK Road,Gilbert,85296,4.0,2.0,2134.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Gilbert/Neely/609-E-SILVER-CREEK-Road/109493028.html,33.3354,-111.7406
472,595000,5040 E Boulder Canyon Drive,Verde Village,86325,3.0,2.0,2280.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Verde-Village/5040-E-Boulder-Canyon-Drive/109568777.html,34.7256,-111.9086
473,899900,19236 W ALICE Court,Waddell,85355,6.0,4.0,4740.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Waddell/19236-W-ALICE-Court/108174515.html,33.5673,-112.4387
474,385000,3401 W Willis,Show Low,85901,2.0,2.0,1992.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Show-Low/3401-W-Willis/109613041.html,34.2998,-110.0
475,1150000,15131 E WESTRIDGE Drive,Fountain Hills,85268,4.0,4.0,3689.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Fountain-Hills/Westridge-Village/15131-E-WESTRIDGE-Drive/109554177.html,33.6085,-111.7237
476,399000,16249 W CENTRAL Street,Surprise,85374,4.0,3.0,2320.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Surprise/Mountain-Vista-Ranch/16249-W-CENTRAL-Street/109554183.html,33.63,-112.3314
477,249400,7125 S Missiondale Road,Tucson,85756,4.0,2.0,1522.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Tucson/Elvira/7125-S-Missiondale-Road/109571431.html,32.0839,-110.9004
478,525000,6249 E BECK Lane,Scottsdale,85254,3.0,2.0,1415.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Scottsdale/West-Cactus/6249-E-BECK-Lane/109590082.html,33.6165,-111.9554
479,575000,16756 W COCOPAH Street,Goodyear,85338,5.0,4.0,4070.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Goodyear/Canyon-Trails/16756-W-COCOPAH-Street/108876102.html,33.4368,-112.3834
480,604990,7242 S Kachina Place,Gold Canyon,85118,4.0,3.0,2834.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Gold-Canyon/7242-S-Kachina-Place/109551545.html,33.3284,-111.3502
481,350000,7231 W MULBERRY Drive,Phoenix,85033,4.0,2.0,1740.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/Maryvale/7231-W-MULBERRY-Drive/109551606.html,33.4944,-112.2132
482,49900,9351 East 28th St 10,Yuma,85365,2.0,2.0,1056.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Yuma-CCD/9351-East-28th-St/109658511.html,32.7093,-114.4905
483,595000,56003 N VULTURE MINE Road,Wickenburg,85390,3.0,3.0,2248.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Wickenburg/56003-N-VULTURE-MINE-Road/109254351.html,33.8944,-112.8603
484,734900,4834 E CHARLESTON Avenue,Scottsdale,85254,3.0,2.0,2344.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Scottsdale/West-Cactus/4834-E-CHARLESTON-Avenue/109554000.html,33.6165,-111.9554
485,460000,3463 W KING Drive,Anthem,85086,3.0,2.0,2130.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/3463-W-KING-Drive/109590129.html,33.8155,-112.1202
486,225000,8213 W Mescalero Road,Payson,85541,2.0,2.0,1200.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Mesa-del-Caballo/8213-W-Mescalero-Road/109554026.html,34.2198,-111.2878
487,147000,310 N Flynn Jans Court,Pearce,85625,3.0,3.0,1782.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Pearce/310-N-Flynn-Jans-Court/109619276.html,31.8885,-109.6119
488,298000,4231 Gila Drive,Lake of the Woods,85929,2.0,2.0,1007.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Lake-of-the-Woods/4231-Gila-Drive/109699296.html,34.1662,-109.9869
489,2900000,5635 E LINCOLN Drive 10,Paradise Valley,85253,3.0,4.0,2948.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Paradise-Valley/5635-E-LINCOLN-Drive/109551655.html,33.5494,-111.9565
490,1500000,6825 N 1st Place ,Phoenix,85012,5.0,5.5,3968.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Maricopa-County/Phoenix/Camelback-East/6825-N-1st-Place-/109727339.html,33.5097,-112.0678
491,369900,918 Joshua Tree Dr,Lake Havasu City,86404,3.0,2.0,1254.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Lake-Havasu-City/918-Joshua-Tree-Dr/109261787.html,34.5575,-114.3307
492,385000,2985 S AVE A,Yuma,85364,6.0,3.0,2769.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Yuma-CCD/2985-S-AVE-A/109752819.html,32.7015,-114.6424
493,1699000,6025 E THUNDERBIRD Road,Scottsdale,85254,5.0,4.0,5000.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Scottsdale/West-Cactus/6025-E-THUNDERBIRD-Road/109492985.html,33.6165,-111.9554
494,479900,2044 S HERON Lane,Gilbert,85295,3.0,3.0,2072.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Gilbert/Lyons-Gate/2044-S-HERON-Lane/108300828.html,33.3054,-111.7408
495,574900,2830 S TUMBLEWEED Lane,Chandler,85286,4.0,3.0,2350.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Chandler/Arden-Park/2830-S-TUMBLEWEED-Lane/109554157.html,33.2711,-111.8311
496,439000,2200 S Old Black Canyon Highway,Dewey - Humboldt,86327,2.0,1.0,1137.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Dewey-Humboldt/2200-S-Old-Black-Canyon-Highway/109567621.html,34.5368,-112.2567
497,875000,30315 N 154TH Place,Scottsdale,85262,4.0,3.0,3359.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Scottsdale/Sunrise-Desert-Vistas/30315-N-154TH-Place/109759167.html,33.7752,-111.7791
498,555000,3450 N PLATINA Circle,Mesa,85215,5.0,3.0,2834.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Mesa/Alta-Mesa/3450-N-PLATINA-Circle/109590062.html,33.4707,-111.7188
499,649000,2677 E Reata Ridge Place,Sahuarita,85614,3.0,4.0,2893.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Sahuarita/2677-E-Reata-Ridge-Place/107723083.html,31.8543,-111.0003
500,459700,4129 E DRAGOON Avenue,Mesa,85206,3.0,2.0,1867.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Mesa/Leisure-World/4129-E-DRAGOON-Avenue/109759286.html,33.4026,-111.7242
501,799000,750 Mines Pass,Prescott,86301,5.0,4.0,3823.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Prescott-CCD/750-Mines-Pass/109774111.html,34.5917,-112.4265
502,365000,1728 S 42 AVE,Yuma,85364,3.0,2.0,2212.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Yuma-CCD/1728-S-42-AVE/109752817.html,32.7015,-114.6424
503,1485000,1775 S Equestrian Way,Cornville,86325,4.0,3.0,3774.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Cornville/1775-S-Equestrian-Way/108432675.html,34.7256,-111.9086
504,299900,30191 N YUCCA Drive,Florence,85132,4.0,2.0,1793.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Florence/30191-N-YUCCA-Drive/109756580.html,32.9969,-111.3612
505,285000,7726 E PARK VIEW Drive,Mesa,85208,2.0,2.0,1100.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Mesa/Fountain-of-the-Sun/7726-E-PARK-VIEW-Drive/109756996.html,33.3984,-111.6513
506,500000,12825 S 209TH Lane,Buckeye,85326,4.0,2.0,2000.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Buckeye/Rainbow-Valley/12825-S-209TH-Lane/109759218.html,33.3703,-112.5838
507,376850,2658 N Vuelta Vista Campestre,Tucson,85715,3.0,2.0,1890.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Tucson/Rancho-Perdido-Estates/2658-N-Vuelta-Vista-Campestre/109776893.html,32.2519,-110.82
508,1495000,17775 N 101ST Way,Scottsdale,85255,3.0,3.0,2653.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Scottsdale/McDowell-Mountain-Ranch/17775-N-101ST-Way/109759183.html,33.6968,-111.8892
